Location,Crop Type,Season,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (kg/ha),Phosphorus (kg/ha),Potassium (kg/ha),Yield (tonnes/ha)
Madhya Pradesh,Sugarcane,Whole Year ,928.64,24.96,6.0,76.13,47.63,60.64,31.97541667
Madhya Pradesh,Wheat,Rabi       ,928.64,24.96,6.74,85.39,44.51,47.38,1.764
Maharashtra,Maize,Kharif     ,2602.54,26.48,6.66,81.08,48.4,57.35,1.992222222
Maharashtra,Maize,Rabi       ,2602.54,26.48,5.76,67.54,45.91,55.67,2.3832
Maharashtra,Maize,Summer     ,2602.54,26.48,7.45,84.52,50.76,50.75,1.381
Maharashtra,Rice,Kharif     ,2602.54,26.48,7.16,67.69,48.52,49.28,1.170740741
Maharashtra,Rice,Summer     ,2602.54,26.48,7.05,85.09,48.29,49.28,2.421111111
Maharashtra,Sugarcane,Whole Year ,2602.54,26.48,6.71,77.52,42.03,60.22,65.53407407
Maharashtra,Wheat,Rabi       ,2602.54,26.48,6.96,81.36,50.43,57.42,1.431666667
Manipur,Maize,Kharif     ,1224.95,20.17,7.35,83.07,43.77,49.93,1.724444444
Manipur,Maize,Rabi       ,1224.95,20.17,6.17,84.38,51.7,49.16,1.467777778
Manipur,Potato,Whole Year ,1224.95,20.17,6.87,72.78,53.78,55.71,8.165555556
Manipur,Rice,Kharif     ,1224.95,20.17,6.76,64.79,45.57,50.84,2.134444444
Manipur,Sugarcane,Whole Year ,1224.95,20.17,7.24,77.12,49.55,55.34,59.26444444
Manipur,Wheat,Rabi       ,1224.95,20.17,7.07,82.75,42.33,60.87,2.495
Nagaland,Maize,Kharif     ,1168.99,18.04,5.9,88.54,52.11,60.34,1.802727273
Nagaland,Maize,Rabi       ,1168.99,18.04,7.23,84.06,45.94,56.47,1.91
Nagaland,Potato,Kharif     ,1168.99,18.04,7.33,79.38,46.6,53.2,12.38272727
Nagaland,Potato,Rabi       ,1168.99,18.04,7.16,78.35,52.6,57.57,12.29
Nagaland,Rice,Kharif     ,1168.99,18.04,7.26,80.67,54.07,63.69,1.964545455
Nagaland,Sugarcane,Kharif     ,1168.99,18.04,5.64,68.53,40.28,55.03,43.01454545
Nagaland,Wheat,Rabi       ,1168.99,18.04,7.3,79.2,50.67,51.34,1.502222222
Punjab,Maize,Kharif     ,1417.62,23.49,5.74,74.19,40.51,61.61,3.419230769
Punjab,Rice,Kharif     ,1417.62,23.49,6.77,79.31,40.83,61.46,3.9855
Punjab,Wheat,Rabi       ,1417.62,23.49,5.97,80.64,42.83,48.26,4.5035
Tripura,Maize,Kharif     ,1532.09,25.19,6.23,85.46,46.6,53.12,0.99
Tripura,Rice,Kharif     ,1532.09,25.19,7.4,73.96,54.3,59.04,2.525
Tripura,Sugarcane,Whole Year ,1532.09,25.19,7.12,89.14,50.56,52.17,54.9975
Tripura,Wheat,Rabi       ,1532.09,25.19,6.76,82.29,50.53,52.04,1.905
Uttar Pradesh,Maize,Kharif     ,1606.05,25.03,6.15,79.39,51.55,62.4,1.366764706
Uttar Pradesh,Maize,Rabi       ,1606.05,25.03,6.33,74.08,53.95,54.19,2.646086957
Uttar Pradesh,Maize,Summer     ,1606.05,25.03,6.31,67.48,41.99,61.85,1.505862069
Uttar Pradesh,Potato,Rabi       ,1606.05,25.03,6.94,67.26,46.87,55.3,18.97342857
Uttar Pradesh,Rice,Kharif     ,1606.05,25.03,5.99,79.99,46.25,49.25,2.124428571
Uttar Pradesh,Rice,Summer     ,1606.05,25.03,6.92,73.3,50.87,59.03,2.095
Uttar Pradesh,Sugarcane,Kharif     ,1606.05,25.03,6.7,83.47,40.28,53.79,47.59257143
Uttar Pradesh,Wheat,Rabi       ,1606.05,25.03,7.03,83.03,44.96,51.96,2.959857143
Uttarakhand,Maize,Kharif     ,1418.98,17.53,6.37,87.42,43.14,56.31,1.197692308
Uttarakhand,Maize,Summer     ,1418.98,17.53,7.1,76.68,40.85,57.27,1.53
Uttarakhand,Potato,Kharif     ,1418.98,17.53,6.09,73.86,49.08,60.88,10.52181818
Uttarakhand,Potato,Rabi       ,1418.98,17.53,7.06,78.08,44.28,58.35,9.419230769
Uttarakhand,Rice,Kharif     ,1418.98,17.53,5.66,65.46,46.69,63.44,1.627692308
Uttarakhand,Rice,Summer     ,1418.98,17.53,6.47,82.35,47.57,48.77,3.1
Uttarakhand,Sugarcane,Whole Year ,1418.98,17.53,5.83,71.9,40.08,55.66,54.82
Uttarakhand,Wheat,Rabi       ,1418.98,17.53,6.24,72.37,49.34,52.61,1.491538462
Jammu and Kashmir,Potato,Rabi       ,702.47,9.1,5.94,86.8,45.53,54.99,16.446
Jammu and Kashmir,Wheat,Rabi       ,702.47,9.1,6.15,83.5,47.82,63.76,1.435714286
Jharkhand,Maize,Autumn     ,1388.34,23.02,7.48,70.57,49.77,46.88,1.074166667
Jharkhand,Potato,Rabi       ,1388.34,23.02,5.74,64.56,49.82,59.37,5.73375
Jharkhand,Potato,Winter     ,1388.34,23.02,6.78,65.33,47.54,49.09,6.666190476
Jharkhand,Rice,Autumn     ,1388.34,23.02,5.96,74.86,50.61,47.46,0.868695652
Jharkhand,Rice,Winter     ,1388.34,23.02,6.22,74.81,51.7,53.79,1.39125
Jharkhand,Sugarcane,Whole Year ,1388.34,23.02,6.79,73.03,45.82,49.11,27.25142857
Jharkhand,Wheat,Rabi       ,1388.34,23.02,6.65,79.76,46.32,54.32,1.43625
Bihar,Maize,Autumn     ,774.6,26.68,6.48,70.02,52.21,55.2,1.760526316
Bihar,Maize,Rabi       ,774.6,26.68,6.5,80.31,43.91,56.38,2.516
Bihar,Maize,Summer     ,774.6,26.68,5.85,74.94,50.04,60.99,2.8075
Bihar,Rice,Autumn     ,774.6,26.68,5.72,72.0,45.48,49.64,0.905666667
Bihar,Rice,Summer     ,774.6,26.68,5.96,84.67,46.76,51.91,1.492083333
Bihar,Rice,Winter     ,774.6,26.68,6.36,83.48,53.12,48.33,1.105526316
Bihar,Sugarcane,Whole Year ,774.6,26.68,5.81,89.53,47.97,56.3,44.66484848
Bihar,Wheat,Rabi       ,774.6,26.68,6.99,88.23,47.45,56.28,2.076315789
Chhattisgarh,Maize,Kharif     ,1075.52,27.17,5.78,75.04,46.65,53.39,1.412777778
Chhattisgarh,Potato,Whole Year ,1075.52,27.17,7.21,76.85,47.66,59.78,4.504666667
Chhattisgarh,Rice,Kharif     ,1075.52,27.17,6.11,87.5,51.0,54.75,1.106666667
Chhattisgarh,Sugarcane,Whole Year ,1075.52,27.17,6.42,87.96,51.2,51.35,3.389375
Chhattisgarh,Wheat,Rabi       ,1075.52,27.17,6.81,75.09,47.83,49.62,1.301764706
Gujarat,Maize,Kharif     ,580.29,28.45,5.75,66.75,40.92,47.04,1.008
Gujarat,Potato,Whole Year ,580.29,28.45,6.98,77.73,40.86,50.86,18.8975
Gujarat,Rice,Kharif     ,580.29,28.45,5.74,72.89,45.8,52.04,1.693529412
Gujarat,Rice,Summer     ,580.29,28.45,7.1,79.61,47.35,55.42,3.034444444
Gujarat,Sugarcane,Whole Year ,580.29,28.45,6.05,86.87,44.32,59.47,66.79470588
Gujarat,Wheat,Rabi       ,580.29,28.45,5.88,69.15,47.26,60.61,2.617692308
Haryana,Maize,Kharif     ,838.16,24.82,5.57,78.14,50.69,53.39,0.940555556
Haryana,Potato,Whole Year ,838.16,24.82,7.35,80.85,54.72,46.82,17.30357143
Haryana,Rice,Kharif     ,838.16,24.82,7.34,83.42,52.28,48.95,2.673809524
Haryana,Sugarcane,Whole Year ,838.16,24.82,5.75,85.21,44.13,48.07,47.4235
Haryana,Wheat,Rabi       ,838.16,24.82,6.37,81.34,52.99,60.01,4.133809524
Himachal Pradesh,Maize,Kharif     ,861.19,21.67,6.56,76.15,46.22,60.95,2.08
Himachal Pradesh,Potato,Kharif     ,861.19,21.67,6.22,72.84,48.53,47.13,11.582
Himachal Pradesh,Potato,Rabi       ,861.19,21.67,7.45,64.5,50.26,48.8,4.67
Himachal Pradesh,Rice,Kharif     ,861.19,21.67,5.87,83.61,44.2,63.56,1.484545455
Himachal Pradesh,Sugarcane,Whole Year ,861.19,21.67,6.16,73.19,42.96,54.18,16.11857143
Himachal Pradesh,Wheat,Rabi       ,861.19,21.67,7.42,83.28,44.66,59.44,0.933333333
Maharashtra,Maize,Kharif     ,2277.28,27.21,6.21,80.59,42.47,58.28,1.972962963
Maharashtra,Maize,Rabi       ,2277.28,27.21,6.1,72.89,52.63,61.91,1.9875
Maharashtra,Maize,Summer     ,2277.28,27.21,7.0,72.4,44.88,49.65,1.348235294
Maharashtra,Rice,Kharif     ,2277.28,27.21,6.34,79.4,51.55,59.97,1.106071429
Maharashtra,Rice,Summer     ,2277.28,27.21,7.22,75.38,54.33,50.33,2.251111111
Maharashtra,Sugarcane,Whole Year ,2277.28,27.21,5.71,78.11,45.07,62.88,76.29222222
Maharashtra,Wheat,Rabi       ,2277.28,27.21,6.69,74.48,50.84,55.28,1.53
Manipur,Maize,Kharif     ,1168.24,20.82,7.24,87.63,50.47,56.54,1.705555556
Manipur,Maize,Rabi       ,1168.24,20.82,5.97,84.18,40.74,47.24,1.673333333
Manipur,Potato,Whole Year ,1168.24,20.82,7.37,65.4,41.78,53.05,8.286666667
Manipur,Rice,Kharif     ,1168.24,20.82,6.3,67.43,46.57,58.85,1.923333333
Manipur,Sugarcane,Whole Year ,1168.24,20.82,6.39,73.9,52.96,47.23,56.62666667
Manipur,Wheat,Rabi       ,1168.24,20.82,6.02,84.45,52.22,58.81,2.073333333
Nagaland,Maize,Kharif     ,1134.66,18.39,6.26,69.17,43.42,62.23,1.037272727
Nagaland,Maize,Rabi       ,1134.66,18.39,6.98,71.2,43.87,57.35,1.51
Nagaland,Potato,Kharif     ,1134.66,18.39,6.22,76.77,53.05,53.1,9.416363636
Nagaland,Potato,Rabi       ,1134.66,18.39,7.1,67.79,51.18,55.15,12.39
Nagaland,Rice,Kharif     ,1134.66,18.39,7.21,67.37,49.26,53.38,1.393636364
Nagaland,Sugarcane,Kharif     ,1134.66,18.39,7.07,79.18,53.39,60.37,30.02272727
Nagaland,Wheat,Rabi       ,1134.66,18.39,6.75,74.0,52.86,54.68,1.198888889
Punjab,Maize,Kharif     ,838.16,24.82,6.98,86.7,49.64,56.56,3.489166667
Punjab,Rice,Kharif     ,838.16,24.82,5.57,85.63,47.64,57.26,3.9775
Punjab,Sugarcane,Whole Year ,838.16,24.82,6.07,77.96,52.9,47.19,6.396923077
Punjab,Wheat,Rabi       ,838.16,24.82,6.47,87.98,49.07,62.97,4.3205
Tripura,Maize,Kharif     ,1954.75,25.68,5.96,85.19,39.97,57.01,1.0
Tripura,Rice,Kharif     ,1954.75,25.68,6.02,65.08,42.65,61.2,2.5225
Tripura,Sugarcane,Whole Year ,1954.75,25.68,6.71,76.2,46.17,58.08,51.4225
Tripura,Wheat,Rabi       ,1954.75,25.68,6.52,69.65,53.42,61.35,1.9825
Uttar Pradesh,Maize,Kharif     ,981.43,25.81,7.2,70.18,49.24,47.7,1.431
Uttar Pradesh,Maize,Rabi       ,981.43,25.81,7.48,82.7,49.73,58.06,3.032083333
Uttar Pradesh,Maize,Summer     ,981.43,25.81,6.94,70.43,44.38,50.77,1.462833333
Uttar Pradesh,Potato,Rabi       ,981.43,25.81,6.57,78.5,47.52,55.24,24.02859155
Uttar Pradesh,Rice,Kharif     ,981.43,25.81,5.85,71.5,43.67,58.93,2.00971831
Uttar Pradesh,Rice,Summer     ,981.43,25.81,6.78,82.51,47.15,54.14,2.13
Uttar Pradesh,Sugarcane,Kharif     ,981.43,25.81,7.31,81.91,42.34,60.93,50.34633803
Uttar Pradesh,Wheat,Rabi       ,981.43,25.81,6.37,70.22,42.79,47.97,2.80915493
Uttarakhand,Maize,Kharif     ,965.68,18.52,5.7,88.29,39.98,48.5,1.236153846
Uttarakhand,Maize,Rabi       ,965.68,18.52,6.16,76.6,46.39,54.61,1.6
Uttarakhand,Potato,Kharif     ,965.68,18.52,6.34,82.71,44.33,55.01,9.59
Uttarakhand,Potato,Rabi       ,965.68,18.52,5.61,68.91,52.11,58.65,10.60615385
Uttarakhand,Rice,Kharif     ,965.68,18.52,6.37,67.61,52.96,63.46,1.613846154
Uttarakhand,Rice,Rabi       ,965.68,18.52,7.02,71.31,48.79,63.3,2.85
Uttarakhand,Sugarcane,Whole Year ,965.68,18.52,7.15,85.57,53.28,60.39,61.34
Uttarakhand,Wheat,Rabi       ,965.68,18.52,7.38,79.63,53.03,51.3,1.674615385
Jharkhand,Maize,Autumn     ,1139.94,23.86,5.64,87.29,48.07,58.01,0.947916667
Jharkhand,Potato,Rabi       ,1139.94,23.86,6.0,66.86,52.74,61.75,6.558333333
Jharkhand,Potato,Winter     ,1139.94,23.86,6.28,65.94,47.39,60.04,6.710434783
Jharkhand,Rice,Autumn     ,1139.94,23.86,7.34,83.89,49.31,55.43,0.515217391
Jharkhand,Rice,Winter     ,1139.94,23.86,6.62,72.46,52.73,63.77,0.58625
Jharkhand,Sugarcane,Whole Year ,1139.94,23.86,7.33,81.81,47.65,61.35,41.7825
Jharkhand,Wheat,Rabi       ,1139.94,23.86,5.93,81.4,50.59,58.64,1.314166667
West Bengal,Maize,Autumn     ,1553.26,26.05,7.16,83.58,51.36,50.78,1.94
West Bengal,Maize,Rabi       ,1553.26,26.05,5.78,80.84,53.17,47.85,3.632727273
West Bengal,Maize,Summer     ,1553.26,26.05,5.6,86.36,53.18,48.29,2.912352941
West Bengal,Potato,Rabi       ,1553.26,26.05,6.82,81.07,43.42,57.51,31.58888889
West Bengal,Potato,Summer     ,1553.26,26.05,6.99,76.62,43.98,54.06,12.4
West Bengal,Rice,Autumn     ,1553.26,26.05,6.75,85.68,51.92,60.07,2.095
West Bengal,Rice,Summer     ,1553.26,26.05,5.58,79.49,42.07,49.42,2.79
West Bengal,Rice,Winter     ,1553.26,26.05,5.93,67.2,53.51,61.54,2.346111111
West Bengal,Sugarcane,Whole Year ,1553.26,26.05,6.18,83.3,41.47,55.38,78.33428571
West Bengal,Wheat,Rabi       ,1553.26,26.05,6.8,70.14,53.09,54.99,2.401764706
Madhya Pradesh,Maize,Whole Year ,1129.49,25.85,7.37,83.22,40.15,62.46,1.0752
Madhya Pradesh,Potato,Whole Year ,1129.49,25.85,5.83,77.35,48.23,51.28,11.0822449
Madhya Pradesh,Rice,Whole Year ,1129.49,25.85,6.38,77.86,49.72,48.05,0.906041667
Madhya Pradesh,Sugarcane,Whole Year ,1129.49,25.85,5.66,81.63,41.55,52.59,31.6544898
Madhya Pradesh,Wheat,Whole Year ,1129.49,25.85,5.51,79.58,49.68,52.57,1.8538
Bihar,Maize,Autumn     ,779.79,27.1,6.33,75.44,51.07,58.82,1.910789474
Bihar,Maize,Rabi       ,779.79,27.1,5.97,75.54,48.69,54.84,3.635882353
Bihar,Maize,Summer     ,779.79,27.1,7.04,70.4,46.26,46.73,3.725135135
Bihar,Rice,Autumn     ,779.79,27.1,7.28,68.17,46.0,47.55,0.919642857
Bihar,Rice,Summer     ,779.79,27.1,7.24,86.38,42.22,62.44,1.827916667
Bihar,Rice,Winter     ,779.79,27.1,6.07,69.54,47.08,52.04,0.979210526
Bihar,Sugarcane,Whole Year ,779.79,27.1,6.69,86.91,43.6,49.9,53.23921053
Bihar,Wheat,Rabi       ,779.79,27.1,6.89,86.31,42.51,54.65,2.282631579
Chhattisgarh,Maize,Kharif     ,1195.15,27.07,6.33,89.74,45.63,59.44,1.733888889
Chhattisgarh,Potato,Whole Year ,1195.15,27.07,6.92,81.79,51.76,51.02,5.708235294
Chhattisgarh,Rice,Kharif     ,1195.15,27.07,6.19,67.16,43.92,59.85,1.702222222
Chhattisgarh,Sugarcane,Whole Year ,1195.15,27.07,5.55,81.14,39.94,52.76,2.692777778
Chhattisgarh,Wheat,Rabi       ,1195.15,27.07,7.18,84.73,46.49,47.46,1.395882353
Gujarat,Maize,Kharif     ,1150.46,27.65,7.47,68.55,40.78,48.87,1.692631579
Gujarat,Maize,Rabi       ,1150.46,27.65,7.32,88.26,50.27,63.04,1.882307692
Gujarat,Maize,Summer     ,1150.46,27.65,6.23,76.14,50.52,50.71,2.00125
Gujarat,Potato,Whole Year ,1150.46,27.65,6.1,84.4,41.55,61.31,21.58
Gujarat,Rice,Kharif     ,1150.46,27.65,7.03,87.02,52.26,61.86,1.8275
Gujarat,Rice,Summer     ,1150.46,27.65,6.86,67.13,43.93,57.8,2.987777778
Gujarat,Sugarcane,Whole Year ,1150.46,27.65,6.8,76.08,45.84,58.26,69.7375
Gujarat,Wheat,Rabi       ,1150.46,27.65,6.15,67.48,44.91,61.6,3.0388
Haryana,Maize,Kharif     ,1351.9,24.57,6.69,89.29,46.66,50.26,0.8175
Haryana,Potato,Whole Year ,1351.9,24.57,6.62,72.73,50.5,59.6,21.70428571
Haryana,Rice,Kharif     ,1351.9,24.57,5.75,74.21,48.36,51.33,2.561428571
Haryana,Sugarcane,Whole Year ,1351.9,24.57,5.58,75.86,52.3,52.88,5.022
Haryana,Wheat,Rabi       ,1351.9,24.57,6.53,73.22,51.73,59.15,4.483333333
Himachal Pradesh,Maize,Kharif     ,1382.72,21.63,6.32,73.8,44.69,62.61,2.593333333
Himachal Pradesh,Potato,Kharif     ,1382.72,21.63,5.76,81.28,41.34,58.68,10.688
Himachal Pradesh,Potato,Rabi       ,1382.72,21.63,7.42,68.98,42.02,61.06,4.835
Himachal Pradesh,Rice,Kharif     ,1382.72,21.63,6.17,70.21,43.11,57.9,1.561818182
Himachal Pradesh,Sugarcane,Whole Year ,1382.72,21.63,5.82,87.83,50.09,61.55,17.22
Himachal Pradesh,Wheat,Rabi       ,1382.72,21.63,7.17,84.66,51.92,60.28,1.539166667
Madhya Pradesh,Maize,Kharif     ,929.07,25.75,5.85,70.29,42.03,62.53,1.3712
Madhya Pradesh,Potato,Whole Year ,929.07,25.75,5.87,86.62,50.33,61.54,9.318163265
Madhya Pradesh,Rice,Kharif     ,929.07,25.75,6.37,69.23,41.87,61.0,1.211666667
Madhya Pradesh,Sugarcane,Whole Year ,929.07,25.75,6.13,84.61,40.63,62.31,31.9975
Madhya Pradesh,Wheat,Rabi       ,929.07,25.75,5.52,75.84,46.63,58.32,1.8744
Maharashtra,Maize,Kharif     ,3131.39,26.97,5.72,74.73,44.32,57.47,2.230769231
Maharashtra,Maize,Rabi       ,3131.39,26.97,7.44,75.46,50.88,59.67,2.514
Maharashtra,Maize,Summer     ,3131.39,26.97,5.92,77.42,43.42,48.69,1.26
Maharashtra,Rice,Kharif     ,3131.39,26.97,5.87,75.99,51.11,55.85,1.3116
Maharashtra,Rice,Summer     ,3131.39,26.97,7.12,67.99,54.24,62.26,2.388888889
Maharashtra,Sugarcane,Whole Year ,3131.39,26.97,5.99,88.47,43.32,48.2,73.83961538
Maharashtra,Wheat,Rabi       ,3131.39,26.97,5.88,88.09,47.95,55.93,1.709333333
Manipur,Maize,Kharif     ,1785.18,20.19,6.87,84.81,51.71,51.76,1.74
Manipur,Maize,Rabi       ,1785.18,20.19,6.23,79.77,48.84,57.79,2.051111111
Manipur,Potato,Whole Year ,1785.18,20.19,6.18,65.03,51.84,54.45,8.286666667
Manipur,Rice,Kharif     ,1785.18,20.19,6.44,74.13,42.33,51.48,1.945555556
Manipur,Sugarcane,Whole Year ,1785.18,20.19,6.19,82.22,53.92,51.94,59.03444444
Manipur,Wheat,Rabi       ,1785.18,20.19,5.5,75.93,48.32,47.23,2.475
Mizoram,Maize,Kharif     ,2243.19,22.98,7.31,80.18,46.29,57.46,1.62125
Mizoram,Maize,Rabi       ,2243.19,22.98,5.9,68.24,46.95,47.49,2.362
Mizoram,Potato,Kharif     ,2243.19,22.98,7.13,78.81,49.12,48.81,6.7
Mizoram,Potato,Rabi       ,2243.19,22.98,5.63,76.77,47.04,56.79,5.56
Mizoram,Rice,Autumn     ,2243.19,22.98,5.78,83.73,43.9,55.6,0.92625
Mizoram,Rice,Kharif     ,2243.19,22.98,7.17,71.62,54.24,61.34,1.495
Mizoram,Rice,Rabi       ,2243.19,22.98,6.08,75.52,54.21,50.74,0.86
Mizoram,Sugarcane,Whole Year ,2243.19,22.98,5.64,86.68,45.96,47.49,5.5975
Nagaland,Maize,Kharif     ,1662.35,18.12,6.81,79.7,40.33,60.58,1.958181818
Nagaland,Maize,Rabi       ,1662.35,18.12,6.17,68.7,51.09,53.21,1.956666667
Nagaland,Potato,Kharif     ,1662.35,18.12,6.48,65.18,42.55,50.98,12.74
Nagaland,Potato,Rabi       ,1662.35,18.12,7.32,77.42,50.95,54.9,12.40285714
Nagaland,Rice,Kharif     ,1662.35,18.12,6.61,80.63,48.5,60.56,2.051818182
Nagaland,Rice,Rabi       ,1662.35,18.12,6.94,71.71,43.45,60.31,2.38
Nagaland,Sugarcane,Kharif     ,1662.35,18.12,7.44,74.6,49.66,52.6,43.52909091
Nagaland,Wheat,Rabi       ,1662.35,18.12,6.04,71.72,51.8,49.32,1.712222222
Punjab,Maize,Kharif     ,1351.9,24.57,6.92,69.29,45.97,46.88,3.710909091
Punjab,Rice,Kharif     ,1351.9,24.57,6.82,72.78,51.95,51.29,3.834
Punjab,Wheat,Rabi       ,1351.9,24.57,6.63,73.39,54.13,51.75,4.6485
Tamil Nadu,Maize,Kharif     ,1361.98,27.83,7.38,83.44,52.53,59.12,4.527857143
Tamil Nadu,Rice,Kharif     ,1361.98,27.83,6.52,65.72,45.87,61.9,3.597419355
Tamil Nadu,Sugarcane,Whole Year ,1361.98,27.83,5.88,75.62,49.24,60.58,107.4126667
Tripura,Maize,Kharif     ,2054.22,25.5,7.24,85.89,51.79,57.69,1.3325
Tripura,Rice,Kharif     ,2054.22,25.5,6.93,72.82,50.51,52.98,2.5725
Tripura,Sugarcane,Whole Year ,2054.22,25.5,7.37,67.14,48.06,62.13,51.1425
Tripura,Wheat,Rabi       ,2054.22,25.5,6.35,80.11,44.35,49.26,2.02
Uttar Pradesh,Maize,Kharif     ,930.36,26.2,5.73,79.98,44.48,58.78,1.40915493
Uttar Pradesh,Maize,Rabi       ,930.36,26.2,6.19,74.96,45.24,52.51,3.0012
Uttar Pradesh,Maize,Summer     ,930.36,26.2,6.22,87.92,48.75,54.72,1.469285714
Uttar Pradesh,Potato,Rabi       ,930.36,26.2,6.67,83.4,52.71,47.2,22.96777778
Uttar Pradesh,Rice,Kharif     ,930.36,26.2,6.01,66.92,54.47,62.52,2.052916667
Uttar Pradesh,Rice,Summer     ,930.36,26.2,7.09,83.08,43.75,58.97,2.032222222
Uttar Pradesh,Sugarcane,Kharif     ,930.36,26.2,6.46,76.61,44.74,56.4,52.28
Uttar Pradesh,Wheat,Rabi       ,930.36,26.2,5.54,70.92,50.43,60.73,3.077222222
Uttarakhand,Maize,Kharif     ,1784.83,18.67,5.73,66.92,48.47,59.65,1.386153846
Uttarakhand,Maize,Rabi       ,1784.83,18.67,7.27,84.81,47.09,62.63,1.896666667
Uttarakhand,Potato,Kharif     ,1784.83,18.67,7.27,79.85,46.12,47.29,8.47
Uttarakhand,Potato,Rabi       ,1784.83,18.67,7.29,74.3,49.83,56.3,12.43307692
Uttarakhand,Rice,Kharif     ,1784.83,18.67,6.81,87.04,42.41,50.09,1.540769231
Uttarakhand,Rice,Rabi       ,1784.83,18.67,5.84,75.42,50.43,55.88,2.25
Uttarakhand,Sugarcane,Whole Year ,1784.83,18.67,5.91,86.46,45.16,60.34,61.34
Uttarakhand,Wheat,Rabi       ,1784.83,18.67,7.03,71.18,48.78,51.53,1.863846154
Jammu and Kashmir,Maize,Kharif     ,870.52,9.68,7.43,80.73,44.97,60.21,1.5675
Jammu and Kashmir,Potato,Kharif     ,870.52,9.68,5.6,65.44,49.31,54.5,6.053333333
Jammu and Kashmir,Potato,Rabi       ,870.52,9.68,5.87,67.14,47.74,62.11,17.04
Jammu and Kashmir,Rice,Kharif     ,870.52,9.68,6.12,69.45,49.05,52.34,1.874
Jammu and Kashmir,Sugarcane,Kharif     ,870.52,9.68,7.21,78.41,39.92,60.05,1.5
Jammu and Kashmir,Wheat,Rabi       ,870.52,9.68,6.4,74.81,49.05,56.15,1.468
Jharkhand,Potato,Rabi       ,943.47,24.38,5.61,86.13,49.69,59.52,5.753333333
Jharkhand,Wheat,Rabi       ,943.47,24.38,6.41,88.27,50.21,60.95,1.091666667
West Bengal,Maize,Autumn     ,1356.15,26.24,5.65,84.18,44.15,50.67,2.453846154
West Bengal,Maize,Rabi       ,1356.15,26.24,6.68,72.47,50.05,56.42,3.234545455
West Bengal,Maize,Summer     ,1356.15,26.24,7.43,69.63,52.7,50.28,2.883529412
West Bengal,Potato,Rabi       ,1356.15,26.24,7.33,78.99,52.64,59.48,29.27833333
West Bengal,Potato,Summer     ,1356.15,26.24,7.07,72.56,52.73,61.35,12.2
West Bengal,Rice,Autumn     ,1356.15,26.24,5.57,75.75,48.94,53.71,2.081666667
West Bengal,Rice,Summer     ,1356.15,26.24,5.96,70.81,43.75,59.36,3.123888889
West Bengal,Rice,Winter     ,1356.15,26.24,6.07,87.18,44.69,49.41,2.487222222
West Bengal,Sugarcane,Whole Year ,1356.15,26.24,5.66,84.98,52.66,50.76,75.264
West Bengal,Wheat,Rabi       ,1356.15,26.24,6.17,81.59,54.78,56.72,2.496666667
Bihar,Maize,Autumn     ,1038.06,25.78,6.2,73.37,48.11,58.02,2.402432432
Bihar,Maize,Rabi       ,1038.06,25.78,6.6,82.12,44.41,51.73,4.221764706
Bihar,Maize,Summer     ,1038.06,25.78,5.74,69.02,43.59,61.07,4.129166667
Bihar,Rice,Autumn     ,1038.06,25.78,6.14,83.7,44.99,54.84,1.546774194
Bihar,Rice,Summer     ,1038.06,25.78,6.68,66.89,42.32,53.85,1.736190476
Bihar,Rice,Winter     ,1038.06,25.78,7.31,64.82,48.26,57.9,2.491578947
Bihar,Wheat,Rabi       ,1038.06,25.78,6.61,83.17,46.17,56.89,3.028684211
Chhattisgarh,Maize,Kharif     ,1521.67,25.56,6.23,85.54,41.88,58.97,1.542592593
Chhattisgarh,Potato,Kharif     ,1521.67,25.56,6.98,66.27,48.85,47.52,6.5875
Chhattisgarh,Potato,Rabi       ,1521.67,25.56,7.41,67.19,47.63,55.8,6.285833333
Chhattisgarh,Rice,Kharif     ,1521.67,25.56,5.82,85.13,44.31,57.05,1.527777778
Chhattisgarh,Sugarcane,Whole Year ,1521.67,25.56,5.91,89.24,50.78,54.84,7.9008
Chhattisgarh,Wheat,Rabi       ,1521.67,25.56,5.53,71.75,50.13,57.34,1.512
Gujarat,Maize,Kharif     ,721.98,27.33,6.53,81.96,43.86,61.38,1.466
Gujarat,Maize,Rabi       ,721.98,27.33,5.94,84.99,52.65,51.92,2.026363636
Gujarat,Maize,Summer     ,721.98,27.33,6.28,73.47,51.47,57.48,1.792857143
Gujarat,Potato,Whole Year ,721.98,27.33,5.74,79.5,51.02,54.9,21.34230769
Gujarat,Rice,Kharif     ,721.98,27.33,6.68,68.67,46.28,48.06,1.951666667
Gujarat,Rice,Summer     ,721.98,27.33,6.86,82.26,54.11,57.53,3.122222222
Gujarat,Sugarcane,Whole Year ,721.98,27.33,6.2,84.37,49.91,54.8,58.77166667
Gujarat,Wheat,Rabi       ,721.98,27.33,7.4,84.48,48.31,51.81,3.01
Haryana,Maize,Kharif     ,1247.88,23.37,6.07,79.95,52.14,62.91,1.145
Haryana,Potato,Whole Year ,1247.88,23.37,7.29,71.06,43.18,60.73,20.60733333
Haryana,Rice,Kharif     ,1247.88,23.37,5.84,72.09,44.93,52.29,2.63047619
Haryana,Sugarcane,Whole Year ,1247.88,23.37,6.27,84.93,41.75,61.48,5.534761905
Haryana,Wheat,Rabi       ,1247.88,23.37,6.03,81.25,54.99,56.06,5.031904762
